movie_id,movie_name,sum_box_desc,box_rate,show_count_rate,seat_count_rate
1299372,你好，李焕英,49.42亿,40.1%,32.7%,40.6%
1300936,人潮汹涌,5.12亿,20.7%,15.9%,14.4%
1217023,唐人街探案3,43.68亿,16.1%,17.5%,16.4%
1048268,刺杀小说家,9.28亿,12.2%,11.6%,10.7%
1299124,新神榜：哪吒重生,4.08亿,3.5%,5.5%,4.4%
1199007,侍神令,2.62亿,2.5%,3.7%,2.7%
1225754,猫和老鼠,8736.4万,2.0%,7.0%,5.8%
1298938,熊出没·狂野大陆,5.63亿,0.7%,2.3%,1.8%
1403541,话梦光影,95.1万,0.4%,<0.1%,<0.1%
1301774,错爱迷踪,19.4万,0.3%,0.5%,0.4%
1309692,千顷澄碧的时代,682.7万,0.2%,2.1%,1.9%
553231,心灵奇旅,3.75亿,0.1%,0.1%,<0.1%
1298727,湘江1934·向死而生,18.3万,<0.1%,<0.1%,<0.1%
1280137,特工妈咪,17.0万,<0.1%,0.1%,<0.1%
1199934,郊区的鸟,22.0万,<0.1%,<0.1%,<0.1%
894008,寻龙传说,1.5万,<0.1%,<0.1%,<0.1%
1230685,猎杀T34,2309.1万,<0.1%,<0.1%,<0.1%
1308845,风吹浪涌,8175,<0.1%,<0.1%,<0.1%
1330566,秀美人生,5435.3万,<0.1%,<0.1%,<0.1%
1358557,武汉日夜,2413.1万,<0.1%,<0.1%,<0.1%
1281368,半条棉被,1198.4万,<0.1%,<0.1%,<0.1%
1309852,山路十八湾,438.4万,<0.1%,<0.1%,<0.1%
657668,日暮,45.3万,<0.1%,<0.1%,<0.1%
1355760,生死下一秒,11.0万,<0.1%,<0.1%,<0.1%
1244901,许愿神龙,1.68亿,<0.1%,<0.1%,<0.1%
1332663,海底小纵队：火焰之环,5323.1万,<0.1%,<0.1%,<0.1%
1265157,指挥家,135.4万,<0.1%,<0.1%,<0.1%
1321157,封口者,229.7万,<0.1%,<0.1%,<0.1%
25348,崖上的波妞,2835.9万,<0.1%,<0.1%,<0.1%
1255684,梦醒黄金城,4.6万,<0.1%,<0.1%,<0.1%
1250700,攀登者,11.02亿,<0.1%,<0.1%,<0.1%
1207337,神奇女侠1984,1.67亿,<0.1%,<0.1%,<0.1%
1298050,哆啦A梦：大雄的新恐龙,6473.8万,<0.1%,<0.1%,<0.1%
1355765,老爷保号,300.3万,<0.1%,<0.1%,<0.1%
1222053,温泉屋的小老板娘,891.5万,<0.1%,<0.1%,<0.1%
1299454,点点星光,615.0万,<0.1%,<0.1%,<0.1%
1229537,与我跳舞,66.9万,<0.1%,<0.1%,<0.1%
1351997,智爱2026,4.4万,<0.1%,<0.1%,<0.1%
1218469,黄河尕谣,22.1万,<0.1%,<0.1%,<0.1%
1303287,棒！少年,789.2万,<0.1%,<0.1%,<0.1%
1229843,叱咤风云,502.2万,<0.1%,<0.1%,<0.1%
248835,消失爱人,6442.1万,<0.1%,<0.1%,<0.1%
1245589,过昭关,49.8万,<0.1%,<0.1%,<0.1%
1211270,哪吒之魔童降世,50.35亿,<0.1%,<0.1%,<0.1%
1334659,出手吧！女生,38.3万,<0.1%,<0.1%,<0.1%
346272,捉妖记2,22.37亿,<0.1%,<0.1%,<0.1%
1292091,扶贫主任,5366,<0.1%,<0.1%,<0.1%
1283263,天后小助理,25.9万,<0.1%,<0.1%,<0.1%
1301793,掬水月在手,789.4万,<0.1%,<0.1%,<0.1%
246591,大鱼海棠,5.73亿,<0.1%,<0.1%,<0.1%
1332048,没有过不去的年,5071.9万,<0.1%,<0.1%,<0.1%
240068,红色娘子军,1.0万,<0.1%,<0.1%,<0.1%
1351768,马莲花开,3.4万,<0.1%,<0.1%,<0.1%
1276254,魔法鼠乐园,317.1万,<0.1%,<0.1%,<0.1%
1205568,蜂鸟计划,330.5万,<0.1%,<0.1%,<0.1%
1285191,卸甲归来,23.6万,<0.1%,<0.1%,<0.1%
1355255,外来书记,20.9万,<0.1%,<0.1%,<0.1%
